Event,Date,Fight Number,Division,Weightclass,Fighter,Opponent,Result,Method,Round,Time,Sig Strikes,Takedowns,Sub Attempts,Guard Passes,Url
UFC 171: Hendricks vs Lawler,3/15/2014,4,Light Heavyweight,205,Nikita Krylov,Ovince Saint Preux,0,SUB  Other - Choke,1,1:29,1,0,0,0,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,5,Welterweight,170,Kelvin Gastelum,Rick Story,1,S-DEC,3,5:00,59,1,0,3,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,5,Welterweight,170,Rick Story,Kelvin Gastelum,0,S-DEC,3,5:00,45,0,0,1,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,6,Women's Bantamweight,135,Raquel Pennington,Jessica Andrade,0,S-DEC,3,5:00,82,2,2,0,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,6,Women's Bantamweight,135,Jessica Andrade,Raquel Pennington,1,S-DEC,3,5:00,66,3,0,3,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,7,Featherweight,145,Dennis Bermudez,Jimy Hettes,1,KO/TKO  Knee,3,2:57,55,6,1,2,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,7,Featherweight,145,Jimy Hettes,Dennis Bermudez,0,KO/TKO  Knee,3,2:57,34,0,0,1,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,8,Welterweight,170,Sean Spencer,Alex Garcia,0,S-DEC,3,5:00,58,0,0,0,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,8,Welterweight,170,Alex Garcia,Sean Spencer,1,S-DEC,3,5:00,61,8,0,3,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,9,Lightweight,155,Renee Forte,Francisco Trevino,0,U-DEC,3,5:00,14,5,0,3,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,9,Lightweight,155,Francisco Trevino,Renee Forte,1,U-DEC,3,5:00,47,2,0,0,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,10,Flyweight,125,Will Campuzano,Justin Scoggins,0,U-DEC,3,5:00,4,0,1,0,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,10,Flyweight,125,Justin Scoggins,Will Campuzano,1,U-DEC,3,5:00,61,6,0,13,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,11,Middleweight,185,Bubba McDaniel,Sean Strickland,0,SUB  Rear Naked Choke,1,4:33,4,1,0,0,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,11,Middleweight,185,Sean Strickland,Bubba McDaniel,1,SUB  Rear Naked Choke,1,4:33,20,1,1,3,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,12,Featherweight,145,Rob Whiteford,Daniel Pineda,1,U-DEC,3,5:00,26,5,0,4,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC 171: Hendricks vs Lawler,3/15/2014,12,Featherweight,145,Daniel Pineda,Rob Whiteford,0,U-DEC,3,5:00,24,1,3,1,http://www.fightmetric.com/event-details/179f1948dc234f1f
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,0,Light Heavyweight,205,Alexander Gustafsson,Jimi Manuwa,1,KO/TKO  Knee,2,1:18,21,1,0,1,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,0,Light Heavyweight,205,Jimi Manuwa,Alexander Gustafsson,0,KO/TKO  Knee,2,1:18,13,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,1,Lightweight,155,Michael Johnson,Melvin Guillard,1,U-DEC,3,5:00,48,1,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,1,Lightweight,155,Melvin Guillard,Michael Johnson,0,U-DEC,3,5:00,22,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,2,Flyweight,125,Brad Pickett,Neil Seery,1,U-DEC,3,5:00,49,4,1,4,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,2,Flyweight,125,Neil Seery,Brad Pickett,0,U-DEC,3,5:00,47,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,3,Welterweight,170,Gunnar Nelson,Omari Akhmedov,1,SUB  Guillotine Choke,1,4:36,16,1,1,3,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,3,Welterweight,170,Omari Akhmedov,Gunnar Nelson,0,SUB  Guillotine Choke,1,4:36,6,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,4,Light Heavyweight,205,Ilir Latifi,Cyrille Diabate,1,SUB  Guillotine Choke,1,3:02,0,1,2,1,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,4,Light Heavyweight,205,Cyrille Diabate,Ilir Latifi,0,SUB  Guillotine Choke,1,3:02,0,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,5,Middleweight,185,Luke Barnatt,Mats Nilsson,1,KO/TKO  Kick,1,4:24,45,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,5,Middleweight,185,Mats Nilsson,Luke Barnatt,0,KO/TKO  Kick,1,4:24,25,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,6,Middleweight,185,Claudio Silva,Bradley Scott,1,U-DEC,3,5:00,36,3,0,5,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,6,Middleweight,185,Bradley Scott,Claudio Silva,0,U-DEC,3,5:00,41,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,7,Welterweight,170,Igor Araujo,Danny Mitchell,1,U-DEC,3,5:00,12,0,1,4,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,7,Welterweight,170,Danny Mitchell,Igor Araujo,0,U-DEC,3,5:00,18,0,5,1,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,8,Flyweight,125,Phil Harris,Louis Gaudinot,0,Overturned,1,1:13,3,0,0,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Gustafsson vs Manuwa,3/8/2014,8,Flyweight,125,Louis Gaudinot,Phil Harris,0,Overturned,1,1:13,2,0,1,0,http://www.fightmetric.com/event-details/ebc1f40e00e0c481
UFC Fight Night: Kim vs Hathaway,3/1/2014,0,Welterweight,170,Dong Hyun Kim,John Hathaway,1,KO/TKO  Elbow,3,1:02,27,1,0,1,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,0,Welterweight,170,John Hathaway,Dong Hyun Kim,0,KO/TKO  Elbow,3,1:02,27,1,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,1,Welterweight,170,Lipeng Zhang,Sai Wang,1,S-DEC,3,5:00,10,4,2,4,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,1,Welterweight,170,Sai Wang,Zhang Lipeng,0,S-DEC,3,5:00,31,0,0,2,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,2,Heavyweight,265,Matt Mitrione,Shawn Jordan,1,KO/TKO  Punch,1,4:59,24,0,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,2,Heavyweight,265,Shawn Jordan,Matt Mitrione,0,KO/TKO  Punch,1,4:59,15,0,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,3,Featherweight,145,Hatsu Hioki,Ivan Menjivar,1,U-DEC,3,5:00,29,4,2,9,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,3,Featherweight,145,Ivan Menjivar,Hatsu Hioki,0,U-DEC,3,5:00,27,0,1,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,4,Lightweight,155,Yui Chul Nam,Kazuki Tokudome,1,S-DEC,3,5:00,77,1,0,3,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,4,Lightweight,155,Kazuki Tokudome,Yui Chul Nam,0,S-DEC,3,5:00,31,3,0,2,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,5,Bantamweight,135,Vaughan Lee,Nam Phan,1,U-DEC,3,5:00,142,0,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,5,Bantamweight,135,Nam Phan,Vaughan Lee,0,U-DEC,3,5:00,24,0,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,6,Welterweight,170,Anying Wang,Albert Cheng,1,KO/TKO,1,5:00,13,0,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,6,Welterweight,170,Albert Cheng,An Ying Wang,0,KO/TKO,1,5:00,5,0,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,7,Featherweight,145,Mark Eddiva,Jumabieke Tuerxun,1,U-DEC,3,5:00,49,4,0,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC Fight Night: Kim vs Hathaway,3/1/2014,7,Featherweight,145,Jumabieke Tuerxun,Mark Eddiva,0,U-DEC,3,5:00,12,1,2,0,http://www.fightmetric.com/event-details/a26198ba5093147e
UFC 170: Rousey vs McMann,2/22/2014,0,Women's Bantamweight,135,Ronda Rousey,Sara McMann,1,KO/TKO  Knee,1,1:06,14,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,0,Women's Bantamweight,135,Sara McMann,Ronda Rousey,0,KO/TKO  Knee,1,1:06,13,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,1,Light Heavyweight,205,Daniel Cormier,Patrick Cummins,1,KO/TKO  Punch,1,1:19,18,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,1,Light Heavyweight,205,Patrick Cummins,Daniel Cormier,0,KO/TKO  Punch,1,1:19,8,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,2,Welterweight,170,Rory MacDonald,Demian Maia,1,U-DEC,3,5:00,75,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,2,Welterweight,170,Demian Maia,Rory MacDonald,0,U-DEC,3,5:00,51,2,0,1,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,3,Welterweight,170,Mike Pyle,TJ Waldburger,1,KO/TKO  Elbows,3,4:03,56,4,1,5,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,3,Welterweight,170,TJ Waldburger,Mike Pyle,0,KO/TKO  Elbows,3,4:03,38,0,1,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,4,Welterweight,170,Stephen Thompson,Robert Whittaker,1,KO/TKO  Punches,1,3:43,38,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,4,Welterweight,170,Robert Whittaker,Stephen Thompson,0,KO/TKO  Punches,1,3:43,19,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,5,Women's Bantamweight,135,Alexis Davis,Jessica Eye,1,S-DEC,3,5:00,53,2,0,2,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,5,Women's Bantamweight,135,Jessica Eye,Alexis Davis,0,S-DEC,3,5:00,47,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,6,Bantamweight,135,Raphael Assuncao,Pedro Munhoz,1,U-DEC,3,5:00,100,3,0,1,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,6,Bantamweight,135,Pedro Munhoz,Raphael Assuncao,0,U-DEC,3,5:00,33,0,1,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,7,Bantamweight,135,Aljamain Sterling,Cody Gibson,1,U-DEC,3,5:00,46,3,3,2,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,7,Bantamweight,135,Cody Gibson,Aljamain Sterling,0,U-DEC,3,5:00,18,4,1,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,8,Flyweight,125,Josh Sampo,Zach Makovsky,0,U-DEC,3,5:00,19,0,0,1,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,8,Flyweight,125,Zach Makovsky,Joshua Sampo,1,U-DEC,3,5:00,34,5,0,3,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,9,Lightweight,155,Rafaello Oliveira,Erik Koch,0,KO/TKO  Punches,1,1:24,1,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,9,Lightweight,155,Erik Koch,Rafaello Oliveira,1,KO/TKO  Punches,1,1:24,19,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,10,Lightweight,155,Ernest Chavez,Yosdenis Cedeno,1,S-DEC,3,5:00,28,2,0,5,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC 170: Rousey vs McMann,2/22/2014,10,Lightweight,155,Yosdenis Cedeno,Ernest Chavez,0,S-DEC,3,5:00,26,0,0,0,http://www.fightmetric.com/event-details/3138fab619faf4d1
UFC Fight Night: Machida vs Mousasi,2/15/2014,0,Middleweight,185,Lyoto Machida,Gegard Mousasi,1,U-DEC,5,5:00,28,1,0,2,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,0,Middleweight,185,Gegard Mousasi,Lyoto Machida,0,U-DEC,5,5:00,36,0,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,1,Middleweight,185,"Ronaldo ""Jacare"" Souza",Francis Carmont,1,U-DEC,3,5:00,16,2,3,3,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,1,Middleweight,185,Francis Carmont,Jacare Souza,0,U-DEC,3,5:00,19,0,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,2,Welterweight,170,Erick Silva,Takenori Sato,1,KO/TKO  Punches,1,0:52,18,0,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,2,Welterweight,170,Takenori Sato,Erick Silva,0,KO/TKO  Punches,1,0:52,0,0,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,3,Welterweight,170,Nico Musoke,Viscardi Andrade,1,U-DEC,3,5:00,45,2,0,1,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,3,Welterweight,170,Viscardi Andrade,Nico Musoke,0,U-DEC,3,5:00,24,1,0,1,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,4,Featherweight,145,Charles Oliveira,Andy Ogle,1,SUB  Triangle Choke,3,2:40,23,3,2,3,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,4,Featherweight,145,Andy Ogle,Charles Oliveira,0,SUB  Triangle Choke,3,2:40,21,1,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,5,Lightweight,155,Cristiano Marcello,Joe Proctor,0,U-DEC,3,5:00,26,1,1,1,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,5,Lightweight,155,Joe Proctor,Cristiano Marcello,1,U-DEC,3,5:00,67,0,1,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,6,Lightweight,155,Ivan Jorge,Rodrigo Damm,0,U-DEC,3,5:00,63,0,1,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,6,Lightweight,155,Rodrigo Damm,Ivan Jorge,1,U-DEC,3,5:00,68,1,1,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,7,Lightweight,155,Jesse Ronson,Francisco Trinaldo,0,S-DEC,3,5:00,53,0,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,7,Lightweight,155,Francisco Trinaldo,Jesse Ronson,1,S-DEC,3,5:00,55,1,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,8,Bantamweight,135,Wilson Reis,Iuri Alcantara,0,S-DEC,3,5:00,23,3,0,2,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,8,Bantamweight,135,Iuri Alcantara,Wilson Reis,1,S-DEC,3,5:00,42,2,0,4,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,9,Featherweight,145,Maximo Blanco,Felipe Arantes,0,U-DEC,3,5:00,44,3,0,1,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,9,Featherweight,145,Felipe Arantes,Maximo Blanco,1,U-DEC,3,5:00,39,1,1,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,10,Welterweight,170,Albert Tumenov,Ildemar Alcantara,0,S-DEC,3,5:00,32,1,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,10,Welterweight,170,Ildemar Alcantara,Albert Tumenov,1,S-DEC,3,5:00,50,4,0,6,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,11,Featherweight,145,Zubaira Tukhugov,Douglas Silva de Andrade,1,U-DEC,3,5:00,35,3,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC Fight Night: Machida vs Mousasi,2/15/2014,11,Featherweight,145,Douglas Silva de Andrade,Zubaira Tukhugov,0,U-DEC,3,5:00,27,0,0,0,http://www.fightmetric.com/event-details/51b0bb73a1da34bc
UFC 169: Barao vs Faber 2,2/1/2014,0,Bantamweight,135,Renan Barao,Urijah Faber,1,KO/TKO  Punch,1,3:42,17,0,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,0,Bantamweight,135,Urijah Faber,Renan Barao,0,KO/TKO  Punch,1,3:42,8,0,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,1,Featherweight,145,Jose Aldo,Ricardo Lamas,1,U-DEC,5,5:00,62,2,2,4,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,1,Featherweight,145,Ricardo Lamas,Jose Aldo,0,U-DEC,5,5:00,41,1,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,2,Heavyweight,265,Alistair Overeem,Frank Mir,1,U-DEC,3,5:00,62,0,0,1,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,2,Heavyweight,265,Frank Mir,Alistair Overeem,0,U-DEC,3,5:00,3,1,1,1,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,3,Flyweight,125,Ali Bagautinov,John Lineker,1,U-DEC,3,5:00,49,6,1,3,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,3,Flyweight,125,John Lineker,Ali Bagautinov,0,U-DEC,3,5:00,27,0,2,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,4,Lightweight,155,Abel Trujillo,Jamie Varner,1,KO/TKO  Punch,2,2:32,18,0,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,4,Lightweight,155,Jamie Varner,Abel Trujillo,0,KO/TKO  Punch,2,2:32,36,0,1,1,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,5,Lightweight,155,John Makdessi,Alan Patrick,0,U-DEC,3,5:00,61,0,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,5,Lightweight,155,Alan Patrick,John Makdessi,1,U-DEC,3,5:00,40,2,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,6,Flyweight,125,Danny Martinez,Chris Cariaso,0,U-DEC,3,5:00,33,5,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,6,Flyweight,125,Chris Cariaso,Danny Martinez,1,U-DEC,3,5:00,73,0,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,7,Middleweight,185,Tom Watson,Nick Catone,0,S-DEC,3,5:00,50,0,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,7,Middleweight,185,Nick Catone,Tom Watson,1,S-DEC,3,5:00,31,5,0,3,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,8,Lightweight,155,Kevin Lee,Al Iaquinta,0,U-DEC,3,5:00,39,1,2,1,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,8,Lightweight,155,Al Iaquinta,Kevin Lee,1,U-DEC,3,5:00,49,0,1,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,9,Middleweight,185,Andy Enz,Clint Hester,0,U-DEC,3,5:00,69,0,0,0,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,9,Middleweight,185,Clint Hester,Andy Enz,1,U-DEC,3,5:00,72,2,0,2,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,10,Lightweight,155,Tony Martin,Rashid Magomedov,0,U-DEC,3,5:00,18,1,1,3,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,10,Lightweight,155,Rashid Magomedov,Tony Martin,1,U-DEC,3,5:00,46,0,1,2,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,11,Welterweight,170,Neil Magny,Gasan Umalatov,1,U-DEC,3,5:00,71,1,0,2,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC 169: Barao vs Faber 2,2/1/2014,11,Welterweight,170,Gasan Umalatov,Neil Magny,0,U-DEC,3,5:00,34,2,0,1,http://www.fightmetric.com/event-details/fc31f896cde2bc2e
UFC on Fox: Henderson vs Thomson,1/25/2014,0,Lightweight,155,Benson Henderson,Josh Thomson,1,S-DEC,5,5:00,46,4,1,1,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,0,Lightweight,155,Josh Thomson,Benson Henderson,0,S-DEC,5,5:00,19,4,0,4,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,1,Heavyweight,265,Stipe Miocic,Gabriel Gonzaga,1,U-DEC,3,5:00,63,1,0,0,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,1,Heavyweight,265,Gabriel Gonzaga,Stipe Miocic,0,U-DEC,3,5:00,29,1,0,0,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,2,Lightweight,155,Donald Cerrone,Adriano Martins,1,KO/TKO  Kick,1,4:40,16,1,0,0,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,2,Lightweight,155,Adriano Martins,Donald Cerrone,0,KO/TKO  Kick,1,4:40,13,0,0,0,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,3,Featherweight,145,Jeremy Stephens,Darren Elkins,1,U-DEC,3,5:00,40,1,0,0,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,3,Featherweight,145,Darren Elkins,Jeremy Stephens,0,U-DEC,3,5:00,21,0,4,1,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,4,Bantamweight,135,Alex Caceres,Sergio Pettis,1,SUB  Rear Naked Choke,3,4:39,53,1,1,1,http://www.fightmetric.com/event-details/a8d521d913df4e31
UFC on Fox: Henderson vs Thomson,1/25/2014,4,Bantamweight,135,Sergio Pettis,Alex Caceres,0,SUB  Rear Naked Choke,3,4:39,49,1,0,0,http://www.fightmetric.com/event-details/a8d521d913df4e31
